# ----------------------------------------
# 1 Master View
# New Custom Report
# 20190113-20200113
# ----------------------------------------

Region,City,Sessions
New York,New York,"34,642"
California,San Francisco,"26,266"
California,Sunnyvale,"25,022"
California,Mountain View,"13,898"
California,San Jose,"11,776"
California,Los Angeles,"8,841"
Illinois,Chicago,"7,844"
Washington,Seattle,"7,223"
Texas,Austin,"6,708"
California,Santa Clara,"4,398"
California,Redwood City,"3,371"
Washington,Kirkland,"3,291"
District of Columbia,Washington,"2,690"
California,San Bruno,"2,653"
Massachusetts,Boston,"2,561"
California,San Diego,"2,539"
Texas,Dallas,"2,398"
Georgia,Atlanta,"2,342"
California,Fremont,"2,313"
California,Palo Alto,"2,298"
Michigan,Ann Arbor,"2,261"
Colorado,Boulder,"2,252"
Texas,Houston,"2,202"
Massachusetts,Cambridge,"2,049"
Pennsylvania,Philadelphia,"2,044"
California,Irvine,"1,949"
Pennsylvania,Pittsburgh,"1,826"
California,Oakland,"1,825"
Arizona,Phoenix,"1,714"
Colorado,Denver,"1,473"
Oregon,Portland,"1,412"
California,San Mateo,"1,337"
California,Milpitas,"1,305"
North Carolina,Charlotte,"1,282"
California,Cupertino,"1,264"
Washington,Bellevue,"1,227"
New Jersey,Jersey City,"1,192"
Washington,Redmond,"1,142"
California,Sacramento,"1,077"
Texas,San Antonio,"1,012"
Massachusetts,Quincy,970
Tennessee,Nashville,952
Texas,Plano,949
Virginia,Dumbarton,941
Florida,Orlando,881
Minnesota,Minneapolis,860
Ohio,Columbus,838
Florida,Miami,786
California,Menlo Park,768
California,South San Francisco,756
California,Los Altos,718
Virginia,Reston,712
Nevada,Las Vegas,663
California,Berkeley,662
Michigan,Detroit,662
Missouri,Kansas City,655
Utah,Salt Lake City,622
North Carolina,Raleigh,619
Florida,Tampa,594
Kentucky,Louisville,594
California,Pleasanton,593
Ohio,Cincinnati,592
Indiana,Indianapolis,562
Nebraska,Omaha,556
California,Campbell,506
Iowa,Council Bluffs,504
Virginia,Arlington,504
Wisconsin,Madison,504
California,Foster City,490
Hawaii,Honolulu,488
Texas,Frisco,484
California,Dublin,467
New Jersey,Newark,458
Florida,Jacksonville,456
Michigan,Dearborn,437
California,Newark,434
California,Burlingame,425
California,Riverside,423
Wisconsin,Eau Claire,419
Virginia,Ashburn,411
California,San Ramon,408
California,Hayward,406
North Carolina,Durham,398
Texas,Fort Worth,394
Oklahoma,Oklahoma City,393
Texas,Irving,389
Arizona,Chandler,388
Tennessee,Memphis,384
Maryland,Baltimore,380
California,Santa Cruz,376
Missouri,St. Louis,376
South Carolina,Goose Creek,376
California,San Carlos,375
Oklahoma,Pryor,357
Arizona,Tucson,337
Michigan,Jackson,337
California,Anaheim,333
California,Los Gatos,330
California,Livermore,324
Virginia,Virginia Beach,320
California,Saratoga,314
California,Long Beach,302
California,Union City,302
California,Walnut Creek,299
Arizona,Tempe,297
Nevada,Reno,296
Wisconsin,Milwaukee,296
Texas,Round Rock,292
New Mexico,Albuquerque,291
Kansas,Overland Park,289
California,Santa Monica,286
Minnesota,Saint Paul,280
Michigan,Kalamazoo,277
Oklahoma,Tulsa,275
Georgia,Douglasville,272
Alabama,Birmingham,269
Michigan,Grand Rapids,267
California,Rancho Cucamonga,265
California,Alameda,263
California,Fresno,259
Minnesota,Maple Grove,259
California,Daly City,256
North Carolina,Lenoir,256
California,San Leandro,251
Ohio,Cleveland,249
Colorado,Thornton,245
Florida,Boca Raton,244
Colorado,Colorado Springs,242
Kentucky,Lexington,239
Louisiana,New Orleans,235
California,Concord,234
New Jersey,Piscataway,234
Arizona,Mesa,232
New Jersey,Edison,232
Arkansas,Bentonville,231
Michigan,East Lansing,230
Ohio,Akron,230
California,Santa Ana,229
Connecticut,Stamford,229
California,Ontario,227
California,Richmond,226
Tennessee,Clarksville,225
Texas,El Paso,222
California,Castro Valley,217
Arizona,Scottsdale,212
Connecticut,Hartford,212
Florida,Gainesville,212
Georgia,Alpharetta,211
Idaho,Boise,210
Texas,Cypress,210
Virginia,Charlottesville,207
Texas,Richardson,206
North Carolina,Cary,204
California,Torrance,202
Texas,Arlington,202
Colorado,Greeley,201
North Carolina,Fayetteville,200
North Carolina,Winston-Salem,198
California,Pasadena,197
Maryland,Frederick,195
California,Bakersfield,193
California,Belmont,192
Rhode Island,Providence,191
Illinois,Naperville,189
Michigan,Farmington Hills,189
Utah,Provo,188
Virginia,Tysons,186
Arizona,Gilbert,185
Oregon,Beaverton,183
Florida,Fort Lauderdale,182
Massachusetts,Needham,180
California,San Rafael,179
Colorado,Aurora,176
Tennessee,Knoxville,176
Pennsylvania,State College,175
California,Stockton,174
Maryland,College Park,174
California,Garden Grove,171
California,Vacaville,171
Nebraska,Lincoln,171
Oregon,Boardman,171
Virginia,Norfolk,171
Missouri,Springfield,167
South Carolina,Greenville,166
Georgia,Marietta,164
New Jersey,Parsippany-Troy Hills,164
California,Laguna Niguel,161
California,Morgan Hill,161
Kansas,Coffeyville,161
Idaho,Rexburg,160
Minnesota,Eden Prairie,159
New York,Rochester,159
Indiana,Bloomington,158
North Carolina,Greensboro,157
Connecticut,New Haven,156
New York,Buffalo,156
New York,Syracuse,156
Washington,Vancouver,156
Louisiana,Baton Rouge,155
California,Tracy,153
Maryland,Columbia,153
Virginia,Blacksburg,153
Georgia,Johns Creek,152
Illinois,Champaign,152
Georgia,Sandy Springs,150
Indiana,Fort Wayne,150
New York,Brighton,149
Virginia,Richmond,148
Washington,Sammamish,148
Colorado,Broomfield,147
California,Roseville,146
California,Chula Vista,145
New York,Albany,145
Florida,Tallahassee,144
California,Huntington Beach,143
New Jersey,Woodbridge Township,143
Alabama,Huntsville,142
Texas,McKinney,142
Georgia,Cumming,141
Iowa,Des Moines,141
New Jersey,Mount Laurel Township,140
New Jersey,Lawrence Township,140
Tennessee,Chattanooga,140
California,Burbank,139
California,Davis,139
California,Rancho Cordova,139
Virginia,Tuckahoe,139
California,Millbrae,138
New Jersey,Hoboken,138
California,Fullerton,137
California,Santa Barbara,137
Illinois,Evanston,137
Massachusetts,Waltham,137
Utah,Orem,137
California,Costa Mesa,136
Florida,West Palm Beach,133
Maryland,Towson,133
New York,Getzville,133
California,Glendale,132
California,Salinas,132
Massachusetts,Newton,132
California,Mission Viejo,131
Florida,Doral,131
Michigan,Novi,131
Oregon,Eugene,131
California,Redondo Beach,130
Virginia,Alexandria,130
California,Carlsbad,129
Massachusetts,Malden,129
Oregon,Hillsboro,129
California,Pacifica,127
New Jersey,North Bergen,127
Washington,Tacoma,127
Michigan,Rochester Hills,126
Texas,The Woodlands,126
New Jersey,Secaucus,125
Texas,University Park,125
California,Santa Clarita,123
Colorado,Fort Collins,123
Colorado,Longmont,123
Indiana,West Lafayette,123
Texas,Cedar Park,123
Texas,College Station,123
California,Santa Rosa,122
Colorado,Lakewood,121
Maryland,Bethesda,121
California,Pomona,119
Florida,St. Petersburg,118
Texas,Pflugerville,118
Washington,Issaquah,118
California,Westminster,117
Connecticut,Mansfield,117
Georgia,Athens,117
Arkansas,Little Rock,116
California,Gilroy,116
Washington,Bothell,116
Massachusetts,Watertown,115
Tennessee,Johnson City,115
Illinois,Urbana,114
Texas,Sugar Land,114
Washington,North Creek,114
Kansas,Wichita,113
Missouri,Columbia,113
California,Corona,112
California,Cypress,112
California,Newport Beach,112
Maryland,Rockville,112
California,West Covina,111
California,San Clemente,110
Massachusetts,Brookline,110
Washington,Everett,110
Michigan,Troy,109
Washington,Kent,109
California,Elk Grove,108
California,Merced,108
California,Pleasant Hill,108
Georgia,Roswell,108
Illinois,Oak Park,108
New York,Yonkers,108
California,Alhambra,107
California,El Cajon,107
California,Modesto,107
California,Stanford,107
Maryland,Germantown,107
South Carolina,Charleston,107
Texas,Denton,107
California,Tustin,106
Florida,Hialeah,106
Massachusetts,Wellesley,106
North Carolina,Chapel Hill,106
New York,Port Washington,106
California,Danville,105
California,Vallejo,105
Georgia,Duluth,105
Iowa,Ames,105
Massachusetts,Worcester,105
Missouri,Chesterfield,105
North Carolina,Apex,105
South Carolina,Columbia,105
Virginia,Chantilly,105
Virginia,Centreville,104
Wisconsin,Menomonie,104
Illinois,Schaumburg,103
Massachusetts,Arlington,103
Michigan,Canton,103
Tennessee,Murfreesboro,103
Alabama,Mobile,102
New Jersey,Clifton,102
Georgia,Newnan,101
New York,Ithaca,101
Washington,Spokane,101
Georgia,Lawrenceville,100
Texas,Carrollton,100
California,Lake Forest,99
California,Thousand Oaks,99
Florida,Clearwater,99
Illinois,Arlington Heights,99
Maryland,Silver Spring,99
California,Chico,98
California,Orange,98
California,San Bernardino,98
Pennsylvania,Lancaster,98
California,San Luis Obispo,97
Massachusetts,Somerville,97
Oregon,The Dalles,97
California,Culver City,96
Illinois,Aurora,96
California,Folsom,95
Colorado,Erie,95
Georgia,Columbus,95
Georgia,Woodstock,95
South Carolina,Dillon,95
Texas,Leander,95
Florida,Largo,94
Illinois,Peoria,94
Virginia,Leesburg,94
Michigan,Westland,93
New Jersey,Ridgewood,93
Utah,Sandy,93
Colorado,Centennial,92
North Carolina,Concord,92
Oregon,Corvallis,92
Texas,Allen,92
California,Moreno Valley,91
Virginia,Fairfax,91
Virginia,Newport News,91
Wisconsin,Green Bay,91
California,Murrieta,90
Iowa,Iowa City,90
New Jersey,Franklin Township,90
South Carolina,Mount Pleasant,90
California,Dixon,89
Florida,Greenacres,89
Michigan,Plymouth Charter Township,89
New Jersey,Harrison,89
Georgia,Savannah,88
Iowa,Cedar Rapids,88
Massachusetts,Medford,88
California,Napa,87
Illinois,Elgin,87
Illinois,Rockford,87
New Jersey,Summit,87
California,Fairfield,86
California,Martinez,86
Pennsylvania,Bala Cynwyd,86
Florida,Hollywood,85
Georgia,Milton,85
Kansas,Lawrence,85
Ohio,Mason,85
Texas,Grapevine,85
California,Half Moon Bay,84
California,Simi Valley,84
Colorado,Westminster,84
Illinois,Buffalo Grove,84
Missouri,Maryland Heights,84
New Jersey,Bridgewater Township,84
New Jersey,East Brunswick,84
Pennsylvania,Villanova,84
New Jersey,Hackensack,83
New Jersey,Montclair,83
New Jersey,West Windsor Township,83
Ohio,Youngstown,83
Virginia,Woodlake,83
Florida,Brandon,82
Georgia,Smyrna,82
Kansas,Kansas City,82
Texas,McAllen,82
Washington,Bellingham,82
Alabama,Montgomery,81
Texas,Garland,81
Florida,Miami Beach,80
Montana,Bozeman,80
New York,White Plains,80
Oregon,Salem,80
Tennessee,Franklin,80
West Virginia,Morgantown,80
California,Lafayette,79
California,East Palo Alto,79
Illinois,Downers Grove,79
Massachusetts,Andover,79
Oklahoma,Broken Arrow,79
Texas,Coppell,79
Colorado,Arvada,78
New Jersey,Middletown,78
New York,New Rochelle,78
California,Monterey,77
Michigan,Warren,77
Mississippi,Jackson,77
New Jersey,Wayne,77
California,Emeryville,76
California,Hawthorne,76
California,Los Altos Hills,76
Connecticut,Waterbury,76
Hawaii,Kahului,76
California,Cerritos,75
California,Palm Desert,75
Florida,Oviedo,75
Florida,Coral Springs,75
Indiana,Lafayette,75
Maryland,Gaithersburg,75
New Hampshire,Manchester,75
Washington,Edmonds,75
Wisconsin,Appleton,75
Alaska,Anchorage,74
California,San Marcos,74
Florida,Davie,74
Idaho,Meridian,74
New Jersey,Monroe Township,74
New York,Newtonville,74
Virginia,Annandale,74
Florida,Pembroke Pines,73
Illinois,Glenview,73
Michigan,Livonia,73
New York,Troy,73
Pennsylvania,Erie,73
Texas,Corpus Christi,73
Utah,St. George,73
California,Watsonville,72
Illinois,Bolingbrook,72
Massachusetts,Framingham,72
New Jersey,Cherry Hill,72
New York,Valhalla,72
Texas,Lubbock,72
Arizona,Glendale,71
California,Fontana,71
California,Temecula,71
Florida,Coral Gables,71
Florida,Palm Beach Gardens,71
Georgia,Tucker,71
Michigan,Auburn Hills,71
Michigan,Kentwood,71
Minnesota,Eagan,71
South Dakota,Sioux Falls,71
Delaware,Claymont,70
Louisiana,Shreveport,70
Michigan,Pittsfield Charter Township,70
Texas,League City,70
Alabama,Hoover,69
California,Oxnard,69
California,Sonoma,69
Colorado,Louisville,69
Florida,DeLand,69
Florida,The Hammocks,69
Massachusetts,Springfield,69
Minnesota,Brooklyn Park,69
Missouri,University City,69
New Jersey,Fort Lee,69
New Jersey,Princeton,69
Pennsylvania,Bethlehem,69
Utah,Lehi,69
Washington,Mercer Island,69
California,Brentwood,68
Georgia,Suwanee,68
Massachusetts,Lexington,68
Michigan,Portage,68
North Carolina,Greenville,68
Ohio,Toledo,68
Texas,Flower Mound,68
Texas,San Marcos,68
Wisconsin,Waukesha,68
Arizona,Buckeye,67
California,Hercules,67
